Bedrooms,Bathrooms,Square Footage,Address,Price
"5
beds",4,"3,800
sq.ft.","1716 W Beverly Glen Parkway Chicago, IL 60643","$615,000"
"4
beds",3,"3,285
sq.ft.","807 W Castlewood Terrace Chicago, IL 60640","$1,399,000"
"2
beds",2,"1,600
sq.ft.","1855 N HALSTED Street 3W Chicago, IL 60614","$875,000"
"3
beds",2,"1,830
sq.ft.","2136 W Belmont Avenue 2 Chicago, IL 60618","$699,900"
"4
beds",2,"2,452
sq.ft.","5736 N Kerbs Avenue Chicago, IL 60646","$699,000"
"2
beds",2,"1,400
sq.ft.","1667 N Bissell Street 3 Chicago, IL 60614","$674,900"
"3
beds",2,"1,500
sq.ft.","1310 N Western Avenue 3N Chicago, IL 60622","$579,000"
"3
beds",2,"1,570
sq.ft.","1717 S Prairie Avenue 2105 Chicago, IL 60616","$575,000"
"3
beds",2,"1,381
sq.ft.","221 E Cullerton Street 417 Chicago, IL 60616","$500,000"
"2
beds",2,"1,800
sq.ft.","233 E ERIE Street 2500 Chicago, IL 60611","$499,000"
"3
beds",2,"2,216
sq.ft.","959 W 37th Street 7 Chicago, IL 60609","$499,000"
"2
beds",2,"1,600
sq.ft.","1216 W Augusta Boulevard 2 Chicago, IL 60642","$489,900"
"2
beds",2,"1,300
sq.ft.","4507 N Campbell Avenue 3 Chicago, IL 60625","$425,000"
"2
beds",2,"1,350
sq.ft.","1444 N Orleans Street 6J Chicago, IL 60610","$489,000"
"1
beds",1,"950
sq.ft.","210 S Desplaines Street 1110 Chicago, IL 60661","$349,900"
"2
beds",1,"935
sq.ft.","3340 N Pioneer Avenue Chicago, IL 60634","$314,900"
"3
beds",2,"1,153
sq.ft.","6954 S Prairie Avenue Chicago, IL 60637","$269,900"
"2
beds",2,"850
sq.ft.","1171 E 61st Street 3 Chicago, IL 60637","$190,000"
"5
beds",4,"4,200
sq.ft.","1745 W Cornelia Avenue Chicago, IL 60657","$1,725,000"
"4
beds",4,"3,285
sq.ft.","8800 S Laflin Street Chicago, IL 60620","$380,000"
"1
beds",1,"900
sq.ft.","1832 N Lincoln Avenue G1 Chicago, IL 60614","$330,000"
"4
beds",3,"2,700
sq.ft.","2012 W Erie Street 1W Chicago, IL 60612","$875,000"
"2
beds",2,"1,200
sq.ft.","1901 S Calumet Avenue 704 Chicago, IL 60616","$415,000"
"6
beds",5,"6,300
sq.ft.","2730 N HARTLAND Court Chicago, IL 60614","$2,988,888"
"3
beds",2,"1,763
sq.ft.","519 E 91st Street Chicago, IL 60619","$315,000"
"1
beds",1,"826
sq.ft.","545 N Dearborn Street 2202 Chicago, IL 60654","$310,000"
"5
beds",4,"3,408
sq.ft.","7100 N SIOUX Avenue Chicago, IL 60646","$1,225,000"
"2
beds",2,"1,250
sq.ft.","758 N Larrabee Street 620 Chicago, IL 60654","$450,000"
"2
beds",2,"1,348
sq.ft.","8 E RANDOLPH Street 1905 Chicago, IL 60601","$449,000"
"3
beds",2,"1,900
sq.ft.","2716 N 73rd Avenue Elmwood Park, IL 60707","$479,900"
"4
beds",2,"1,650
sq.ft.","10633 S Whipple Street Chicago, IL 60655","$469,900"
"3
beds",2,"2,400
sq.ft.","2337 W WASHINGTON Boulevard 1 Chicago, IL 60612","$399,990"
"4
beds",3,"2,273
sq.ft.","3951 N Wayne Avenue 301 Chicago, IL 60613","$1,379,999"
"4
beds",3,"2,045
sq.ft.","3951 N Wayne Avenue 207 Chicago, IL 60613","$1,229,999"
"3
beds",2,"1,753
sq.ft.","3951 N Wayne Avenue 404 Chicago, IL 60613","$1,149,999"
"3
beds",2,"1,783
sq.ft.","3951 N Wayne Avenue 205 Chicago, IL 60613","$1,079,999"
"3
beds",3,"1,866
sq.ft.","3951 N Wayne Avenue 107 Chicago, IL 60613","$1,049,999"
"3
beds",4,"2,600
sq.ft.","7337 N Mcvicker Avenue Chicago, IL 60646","$799,000"
"1
beds",1,"1,171
sq.ft.","165 N Canal Street 1030 Chicago, IL 60606","$325,000"
"4
beds",2,"1,700
sq.ft.","5936 S Keeler Avenue Chicago, IL 60629","$359,999"
"4
beds",4,"3,585
sq.ft.","9142 S Longwood Drive Chicago, IL 60643","$690,000"
"1
beds",1,"700
sq.ft.","5415 N Sheridan Road 5114 Chicago, IL 60640","$179,900"
"5
beds",3,"4,801
sq.ft.","4450 S Prairie Avenue Chicago, IL 60653","$745,777"
"5
beds",4,"9,200
sq.ft.","1352 N LaSalle Drive Chicago, IL 60610","$4,499,000"
"2
beds",2,"1,075
sq.ft.","2700 N HAMPDEN Court 7D Chicago, IL 60614","$334,900"
"2
beds",2,"1,500
sq.ft.","3561 W Lyndale Street 2E Chicago, IL 60647","$425,000"
"3
beds",3,"2,600
sq.ft.","334 N JEFFERSON Street D Chicago, IL 60661","$925,000"
"3
beds",1,"1,246
sq.ft.","733 E 90th Street Chicago, IL 60619","$198,900"
"3
beds",2,"1,343
sq.ft.","1008 W Barry Avenue Chicago, IL 60657","$600,000"
