bedrooms,bathrooms,square_footage,address,price
2,2,1669,"65 E Monroe Street 4623 Chicago, IL 60603",800000.0
4,2,1250,"11553 S Joalyce Drive Alsip, IL 60803",304900.0
2,1,900,"6416 W 64th Place 3A Chicago, IL 60638",189000.0
3,2,1475,"847 W Ainslie Street 1E Chicago, IL 60640",600000.0
1,1,732,"600 N DEARBORN Street 1006 Chicago, IL 60654",290000.0
2,2,2100,"1224 W WINONA Street 3E Chicago, IL 60640",595000.0
2,2,1100,"6453 N Northwest Highway C5 Chicago, IL 60631",259900.0
3,2,1881,"5114 S Kenwood Avenue PHB Chicago, IL 60615",1000000.0
3,2,1881,"5114 S Kenwood Avenue 4B Chicago, IL 60615",925000.0
3,2,2025,"1529 S State Street TH6 Chicago, IL 60605",500000.0
3,2,1898,"5114 S Kenwood Avenue PHA Chicago, IL 60615",1100000.0
3,2,1500,"4706 S Saint Lawrence Avenue 2W Chicago, IL 60615",430000.0
3,2,1881,"5114 S Kenwood Avenue 3B Chicago, IL 60615",900000.0
4,2,2655,"10226 S Hoyne Avenue Chicago, IL 60643",599000.0
4,1,1295,"12411 S Lincoln Street Calumet Park, IL 60827",244500.0
2,2,1234,"1033 W 14th Place 241 Chicago, IL 60608",395000.0
2,2,1529,"1235 S PRAIRIE Avenue 2101 Chicago, IL 60605",699999.0
4,3,3000,"1250 S Michigan Avenue 2900 Chicago, IL 60605",899999.0
1,1,864,"330 N Jefferson Street 1002 Chicago, IL 60661",344000.0
3,2,2454,"926 W Barry Avenue 3 Chicago, IL 60657",949900.0
3,2,2454,"926 W Barry Avenue 3 Chicago, IL 60657",929900.0
3,3,3500,"10649 S Sawyer Avenue Chicago, IL 60655",779900.0
2,2,1786,"55 E Erie Avenue 1504 Chicago, IL 60611",775000.0
2,2,1085,"234 W Polk Street 3610 Chicago, IL 60607",665000.0
3,2,1529,"847 W Ainslie Street 3E Chicago, IL 60640",649900.0
3,2,1529,"847 W Ainslie Street 3W Chicago, IL 60640",644900.0
2,2,1485,"125 E 13th Street 808 Chicago, IL 60605",590000.0
1,1,1172,"25 E Superior Street 904 Chicago, IL 60611",450000.0
2,2,1263,"4841 N Rutherford Avenue Chicago, IL 60656",439900.0
2,2,1200,"401 E Ontario Street 809 Chicago, IL 60611",399000.0
3,2,2309,"5938 S Richmond Street Chicago, IL 60629",329900.0
3,2,1230,"9043 S Luella Avenue Chicago, IL 60617",314900.0
2,2,1078,"2952 W 97th Place Evergreen Park, IL 60805",309900.0
3,2,1310,"11010 S Union Avenue Chicago, IL 60628",309900.0
3,2,1650,"8051 S Paxton Avenue Chicago, IL 60617",309900.0
1,1,750,"421 W Huron Street 808 Chicago, IL 60654",299900.0
4,2,1217,"819 E 98th Place Chicago, IL 60628",285000.0
3,2,2048,"8019 S Sangamon Street Chicago, IL 60620",260000.0
2,1,1045,"3148 W 102nd Street Evergreen Park, IL 60805",229900.0
3,1,1125,"3817 W 61st Place Chicago, IL 60629",215375.0
2,1,1015,"6815 N Olmsted Avenue 203 Chicago, IL 60631",215000.0
2,2,900,"6135 S Drexel Avenue 4B Chicago, IL 60637",200000.0
4,1,1566,"5626 S Maplewood Avenue Chicago, IL 60629",199900.0
3,1,998,"7958 S Knox Avenue Chicago, IL 60652",160000.0
2,2,1319,"2632 S Drake Avenue Chicago, IL 60623",159000.0
2,1,965,"2516 E 99TH Street Chicago, IL 60617",85000.0
3,2,1625,"2471 N Clybourn Avenue 2 Chicago, IL 60638",825000.0
5,3,3108,"3638 N ODELL Avenue Chicago, IL 60634",699000.0
2,2,1400,"2226 N Lincoln Avenue 3A Chicago, IL 60614",695000.0
1,1,1244,"340 E Randolph Street 1506 Chicago, IL 60601",585000.0
2,2,1324,"1000 W Adams Street 203 Chicago, IL 60607",550000.0
2,2,1395,"474 N Lake Shore Drive 6102 Chicago, IL 60611",499999.0
4,2,1260,"3924 N Oconto Avenue Chicago, IL 60634",450000.0
2,1,1280,"5832 N Kenton Avenue Chicago, IL 60646",450000.0
3,3,1457,"6615 S Keating Avenue Chicago, IL 60629",395000.0
5,2,3500,"8144 S Green Street Chicago, IL 60620",374000.0
2,2,1398,"1111 S State Street A505 Chicago, IL 60605",365000.0
3,1,1463,"2036 W MORSE Avenue D Chicago, IL 60645",364900.0
1,1,976,"2518 N Willetts Court GS Chicago, IL 60647",358000.0
4,3,3268,"7554 S Perry Avenue Chicago, IL 60620",345000.0
3,2,1484,"7117 S UNIVERSITY Avenue Chicago, IL 60619",295000.0
3,1,912,"Chicago, IL 60638",287340.0
2,2,1114,"10123 S Forest Avenue Chicago, IL 60628",239900.0
2,1,1405,"7637 N Bosworth Avenue 2N Chicago, IL 60626",235000.0
2,1,1000,"6959 W Higgins Avenue 1S Chicago, IL 60656",209000.0
4,2,1476,"608 W 95th Street Chicago, IL 60628",200000.0
1,1,1000,"899 S Plymouth Court 404 Chicago, IL 60605",199900.0
4,2,1229,"10216 S Emerald Avenue Chicago, IL 60628",189999.0
2,2,1200,"4222 W 77th Street 202 Chicago, IL 60652",177500.0
1,1,710,"2626 W Catalpa Avenue 21 Chicago, IL 60625",160000.0
2,2,1406,"2213 E 68TH Street 1E Chicago, IL 60649",144900.0
3,1,1105,"7206 S Lafayette Avenue Chicago, IL 60621",124700.0
4,2,1797,"7711 S Champlain Avenue Chicago, IL 60619",99000.0
3,2,2000,"600 N KINGSBURY Street 309 Chicago, IL 60654",895000.0
3,2,2100,"1355 W WASHINGTON Boulevard 4D Chicago, IL 60607",705000.0
2,2,1650,"1425 W BELMONT Avenue 3 Chicago, IL 60657",674500.0
2,2,1800,"3059 N Lincoln Avenue B Chicago, IL 60657",590000.0
3,3,3400,"6511 S Evans Avenue Chicago, IL 60637",589500.0
2,2,2100,"1512 S Halsted Street Chicago, IL 60607",585000.0
2,2,1350,"8 E Randolph Street 3108 Chicago, IL 60601",575000.0
