bedrooms,bathrooms,square_footage,address,price
2,2,1573,"900 W Washington Boulevard 402 Chicago, IL 60607",999999
2,2,1200,"480 N Mcclurg Court 901 Chicago, IL 60611",399999
3,2,1900,"360 E Randolph Street 3201 Chicago, IL 60601",1175000
3,2,4822,"711 N Milwaukee Avenue 2 Chicago, IL 60642",1195000
2,2,1450,"360 E Randolph Street 3902 Chicago, IL 60601",759000
1,1,1100,"331 S Peoria Street 401 Chicago, IL 60607",350000
2,2,1650,"777 N Michigan Avenue 3701 Chicago, IL 60611",629000
1,1,830,"6301 N Sheridan Road 2U Chicago, IL 60660",135000
1,1,800,"6301 N Sheridan Road 20D Chicago, IL 60660",185000
2,1,875,"4518 W Wellington Avenue 4518-2 Chicago, IL 60641",169000
2,2,1070,"3626 N Oriole Avenue Chicago, IL 60634",450000
2,2,1235,"2 E ERIE Street 2102 Chicago, IL 60611",535000
2,1,1100,"707 W JUNIOR Terrace 3S Chicago, IL 60613",279900
3,2,1600,"4170 N Marine Drive 6L Chicago, IL 60613",485900
3,2,1163,"14116 S Hoxie Avenue Burnham, IL 60633",226999
2,2,1350,"130 S CANAL Street 517 Chicago, IL 60606",465000
5,3,4801,"4450 S Prairie Avenue Chicago, IL 60653",745777
1,1,800,"4920 N Marine Drive 411 Chicago, IL 60640",155000
4,3,2320,"1310 N Mayfield Avenue Chicago, IL 60651",429900
3,2,1161,"7840 S Springfield Avenue Chicago, IL 60652",230000
4,3,3015,"4565 N Potawatomie Avenue Chicago, IL 60656",899000
2,2,1520,"1122 N Dearborn Street 7A Chicago, IL 60610",625000
2,2,1300,"635 N Dearborn Street 2604 Chicago, IL 60654",495000
2,2,1200,"9429 S Leavitt Street Chicago, IL 60643",350000
2,2,1368,"505 N Mcclurg Court 4505 Chicago, IL 60611",749995
2,2,1300,"324 N Jefferson Street 107 Chicago, IL 60661",479900
2,2,1149,"303 W OHIO Street 1906 Chicago, IL 60654",475000
2,2,1550,"130 S CANAL Street 619 Chicago, IL 60606",440000
3,3,3000,"2102 S May Street Chicago, IL 60608",1305000
3,2,2500,"1478 S Prairie Avenue L Chicago, IL 60605",849900
3,3,3100,"4728 N Malden Avenue 1S Chicago, IL 60640",799900
2,2,1268,"234 W Polk Street 3002 Chicago, IL 60607",765000
2,2,1165,"234 W Polk Street 2412 Chicago, IL 60607",695000
3,2,1650,"645 W Bittersweet Place 1 Chicago, IL 60613",655000
2,2,1111,"234 W Polk Street 2804 Chicago, IL 60607",650000
2,2,1085,"234 W Polk Street 2810 Chicago, IL 60607",625000
